word,sum of current price,occurence
守護神,243159,3
滅絕,898327,3
全開,311968,3
活用,313959,3
滌綸,279303,3
北門,825370,3
論壇,503861,3
耦合,457468,3
電漿,1997145,3
優異,1882081,3
重視,724715,3
考量,260366,3
束繩,762639,3
多層次,3029422,3
常見,475030,3
炊具,2963310,3
野炊,964950,3
吸磁,1123540,3
電纜,7704763,3
簽收,9815857,3
帶錯,9086914,3
軍規級,7524963,3
萬能,7991735,3
招募,424389,3
管弦,1278081,3
最終,684910,3
前來,511049,3
鍛鍊,1297286,3
男款,3526540,3
行進,4975372,3
擋片,34537460,3
跳色,6473487,3
環狀,3493650,3
甲子,3285202,3
樂樂,2052070,3
激發,1090870,3
軟化,2148164,3
加速,6565001,3
分子團,1528300,3
酒體,382133,3
光陰,381380,3
喝完,561173,3
威士忌,3973430,3
平價,235750,3
防水鞋,25917918,3
腳後跟,15361641,3
花紋,20513264,3
跌倒,16751011,3
量產,16407007,3
墨綠,28757022,3
焚燒,15748795,3
抑臭,2271910,3
超彈性,195208,3
紙鎮,616014,3
筆座,4096010,3
筆頭,5228121,3
出售,21140173,3
底色,106150,3
定義,2268256,3
吸起,27767763,3
拖布,28871044,3
沾手,2005730,3
歐文,18185871,3
假名,18185871,3
標點符號,16452602,3
張力,16559058,3
鍵帽,1393043,3
太空銀,5276718,3
問卷,1782902,3
散熱性,3032575,3
排名,13203435,3
吞食,172534,3
附件,1940024,3
副食品,1123290,3
減菌,257843,3
歡喜,215121,3
外展,151001,3
生涯,297901,3
外貌,245336,3
編劇,195651,3
七月,592774,3
超能,175320,3
多重,1356533,3
底蓋,5479210,3
水下,2772892,3
體現,137363,3
紙漿,541755,3
落在,259474,3
承受,1041621,3
抗菌劑,97328,3
您們,79871,3
愛倍多,124551,3
需知,124551,3
透明袋,15623187,3
負載,1173031,3
訂購,2776445,3
銀髮族,2424236,3
崛起,423554,3
危險性,1005292,3
質譜儀,250409,3
小驚喜,445793,3
主播,518373,3
氣相,944949,3
畢展,42170,3
好過,232730,3
釐清,63050,3
絨布,640165,3
陰乾,130650,3
填充,1016705,3
飽滿,83335,3
禁用,2115420,3
飲料杯,22047715,3
掩埋,236478,3
可怕,19589277,3
現有,185528,3
聚餐,4475012,3
團員,72728,3
改革,494904,3
國家級,6971989,3
肥料,174268,3
專研,190361,3
數字,2032392,3
模板,311432,3
皮帶,898172,3
總部,7670921,3
共識,171014,3
超萌,13167769,3
傾角,7504939,3
沙灘,1805708,3
下旬,3005775,3
封底,3480723,3
岩石,1869598,3
晨曦,2214707,3
色號,4409061,3
鐵鏽,1334385,3
漣漪,1872840,3
加價,9014389,3
任性,13249772,3
瓦斯罐,727743,3
整機,1534113,3
流線,1710783,3
端子,15003005,3
過流,3369089,3
廢話,98287,3
主流,5738846,3
鮮豔,1644098,3
至上,5446542,3
農法,325121,3
葉子,200996,3
學名,197826,3
滴滴,497041,3
芳療,380776,3
講究,533873,3
過敏原,74136,3
花樣,1291534,3
漢方,44180,3
起泡,3874602,3
即可,2649040,3
結織,765012,3
立方,4872408,3
恩師,57000,3
宗教,3507828,3
懂得,550500,3
硬質,1197994,3
洗髮精,2170011,3
佔位,8364030,3
扁平,5715685,3
連接線,4342866,3
機械式,1570370,3
線性,2128715,3
張開,1729348,3
大多數,2395040,3
兄弟,2138638,3
絨毛,2426662,3
上面,2213654,3
記載,2189888,3
好奇,1033530,3
大山,2794260,3
宮廟,8761358,3
摩艾,1252561,3
產製,1080322,3
小麥,450228,3
雨滴,642858,3
翅膀,1855280,3
橡皮筋,1851974,3
滑行,6507934,3
推展,1673050,3
蒸氣,2128496,3
衣架,3117694,3
汗臭味,22454042,3
留言,1926746,3
吃力,1189516,3
權力,1154946,3
酒杯,4888770,3
圖文,6454429,3
萬達標,5236915,3
拿錯,5667318,3
評選為,15769994,3
完整版,8098484,3
紫外,678892,3
數位化,2710708,3
寫信,770150,3
做工,5982487,3
縫紉,4019128,3
拾荒,22691165,3
基督教,3618028,3
口罩套,154169,3
指甲,265168,3
感謝狀,870866,3
衛福部,150800,3
飲水量,1901027,3
農作,282280,3
果園,60140,3
綠意,4088800,3
一級,34233498,3
情懷,925919,3
白光,1919208,3
請問,1581399,3
消耗品,621049,3
提撥,637199,3
捍衛,312009,3
项目,371557,3
實惠,2200179,3
排水孔,11993892,3
小腿,3286681,3
扎實,2021650,3
大部分,2136790,3
拿起,5260146,3
毒素,852877,3
特定,19857143,3
發起人,21760726,3
澆水,186220,3
施肥,186220,3
共生,388715,3
立體化,425650,3
燒毀,278600,3
泥土,2248820,3
物種,15454274,3
風洞,10291838,3
中棒,7211667,3
龜裂,5007590,3
耐摔,8821579,3
秘境,6649420,3
普通,29287873,3
找回來,1858360,3
日用品,1829110,3
故宮,10205970,3
明星,7131514,3
團主,12196095,3
超取,5404357,3
織法,4733714,3
開合,2876000,3
中央山脈,1159480,3
分佈,263960,3
多樣式,580498,3
肥皂水,3492435,3
陰暗,206770,3
耳道,11398476,3
不當,10248217,3
幀數,32141502,3
賣家,8592222,3
野放,14109586,3
態度,8606718,3
符咒,198842,3
庇佑,3534088,3
護身,83870,3
上帝,725796,3
草圖,2573968,3
石灰,754669,3
弧形,98270,3
拆解,2390122,3
檀香,826493,3
有幸,1755768,3
土地公,8761188,3
到達,178104,3
擇一,1222041,3
集合,2830959,3
嗅覺,722760,3
低功耗,6081327,3
零組件,3738947,3
試聽會,10425381,3
燈效,1108960,3
蜜桃,1416465,3
網紗,402626,3
深邃,5523181,3
九分褲,921508,3
點綴,3450070,3
眼動,749416,3
重症,641686,3
跳舞,307688,3
想法,716596,3
管道,1317059,3
自主,786538,3
認知,439192,3
太空人,990590,3
賣出,23192106,3
真正,629124,3
轉換為,600855,3
武器,600400,3
殘膠,1431622,3
含水量,814797,3
瓦解,601253,3
使用,563660,3
高防水,6084080,3
藏污納垢,16171113,3
暢行,4646980,3
搖桿,2713110,3
時速,5804300,3
回充,25484899,3
延續,38461139,3
格局,25500843,3
小愛,26958093,3
段式,24724263,3
爵士樂,1639120,3
曲子,25694405,3
意思,54200,3
終點,674200,3
紙鈔,2926206,3
夾鏈袋,2457907,3
慕尼黑,2601638,3
空白頁,9845507,3
滑鼠墊,1846982,3
效期,668628,3
管理員,1148890,3
協定,1699234,3
八月,2576685,3
注意,1483748,3
氣勢,1105270,3
中旬,804518,3
瑣碎,548517,3
小於,4864632,3
投保,610965,3
宗旨,692903,3
貼心,671628,3
碰撞,4642651,3
以外,1995174,3
雲霧,2440979,3
呈現,2025550,3
導熱,3373963,3
彎折,2329046,3
合唱團,714314,3
典禮,2017882,3
主修,221951,3
監聽,7307010,3
孔徑,10575235,3
品種,140224,3
體質,178832,3
共計,123100,3
擬人化,450871,3
桌布,152548,3
參展,2468837,3
營運,279750,3
一臂之力,89898,3
洗碗精,1118188,3
層析儀,2878982,3
河川,137703,3
零容,2093807,3
分解度,439559,3
偵測器,1013773,3
麻油,4076263,3
拒絕,6157935,3
電磁,4099876,3
燙口,928238,3
預警,1340100,3
創客,497829,3
下課,490800,3
高亮度,1257582,3
時效,694966,3
耐刮,1356806,3
環境音,3436238,3
收放,1525460,3
防霧,7345011,3
起霧,1812531,3
接觸角,22763237,3
疏水性,6015050,3
明亮,1818482,3
火鍋,2239073,3
尷尬,3469671,3
韌體,2061628,3
吻合,5404029,3
獲獎,1087322,3
軍隊,1676178,3
帶領,783500,3
墊圈,12635817,3
外漏,20634809,3
拼裝,3702388,3
緊密,18345088,3
特寫,2604636,3
陀螺,4427536,3
獎品,92520,3
稀有,10606656,3
孕育,13676336,3
症狀,7746518,3
一年級,23870,3
意外,1542220,3
奇幻,2397290,3
洞洞板,22674064,3
靈巧,1345128,3
嶄新,1064165,3
條紋,4991011,3
海岸,822118,3
科系,821618,3
驚奇,5858976,3
地理,1100458,3
乾洗手,26907,3
抗菌液,11899,3
發燒,1290539,3
台積電,703949,3
機車族,4170533,3
聲光,4914429,3
拇指,673855,3
追溯,1242180,3
戴奧辛,410925,3
黑豆,3753090,3
淨白,5644003,3
天竺葵,923591,3
年限,3581115,3
外盒,14338877,3
衛生棉,20222809,3
團結,741899,3
鳥類,632567,3
隨意,1268416,3
沐浴乳,12965642,3
低壓,9829095,3
外國人,562749,3
紡織廠,937154,3
熱門,202208,3
均匀,2547015,3
口號,2412073,3
雷雕機,31901919,3
毛氈,32087210,3
預覽,65892568,3
浮雕,34735388,3
實況,37480168,3
爆發,30957410,3
帽款,5290242,3
制服,332913,3
空軍,983720,3
丹寧,1552402,3
閃亮,654850,3
好比,798741,3
早餐,857191,3
咖哩,4206560,3
調味料,721835,3
肉片,4468107,3
辣油,1325521,3
午餐,4138592,3
華麗,4761928,3
慶生,230796,3
現任,20881619,3
邀約,275352,3
讀寫,3631163,3
位元,9445646,3
鏡像,3954680,3
穿山甲,15216566,3
毛皮,926804,3
烘焙度,258622,3
杯測,413358,3
無名,2905820,3
需求,744900,3
漏電,434940,3
行善,1820920,3
火災,11919828,3
後盾,2979734,3
車充,5921875,3
三入組,2176360,3
滴入,2566890,3
小心,747038,3
相反,278630,3
香蕉,301822,3
破裂,1766441,3
片尾,728264,3
喜樂,590535,3
果實,315724,3
掌心,1288373,3
京都,1098910,3
失效,1281305,3
民宿,367650,3
習俗,848585,3
車馬費,3962654,3
報價,3209616,3
彩排,149900,3
清亮,484584,3
盈餘,1097216,3
意義,660681,3
辦法,103655,3
腎臟,1487721,3
专利权,524107,3
獸醫師,10374881,3
投入,1927910,3
漂白水,272688,3
不卡,2949209,3
星期一,357640,3
四合一,6821336,3
定點,5992193,3
換位,8265520,3
立法,1143207,3
揚聲器,2546850,3
先進,10759145,3
車友,7204422,3
忍受,1908857,3
誤觸,695385,3
發動機,3564385,3
炎熱,1315757,3
吹出來,8502269,3
開花,2534709,3
釋出,1795468,3
加持,1414755,3
滑順,2262705,3
用上,2055224,3
尖頭,2627505,3
選材,1489123,3
率性,1294535,3
蔓延,1547877,3
專屬於,61753,3
筋膜炎,2527940,3
楦頭,1219440,3
寬楦,1999294,3
鞋業,196921,3
凝結,669805,3
減半,1091956,3
區別,1190856,3
帳戶,460700,3
擦擦,7360026,3
筆墨,8494064,3
起飛,2619448,3
腦袋,234169,3
把玩,795423,3
送風,9237607,3
橫放,3417331,3
換季,12178283,3
中間,4555450,3
秘笈,5940850,3
美金,2157038,3
南瓜,2705345,3
吹出,9225274,3
帶到,2876568,3
吸睛,1521243,3
表情,4833895,3
戰略,1095682,3
幸運,769879,3
紙製,1280593,3
反面,2494570,3
煙燻,4352417,3
永續性,2274457,3
原味,377400,3
確保,955431,3
試想,115005,3
傷痕,259808,3
凹凸,1362090,3
高中生,357216,3
仔細,261542,3
專題,96756,3
難題,344796,3
擔憂,3061932,3
看到,269857,3
合計,515020,3
春茶,626230,3
高山茶,626230,3
烏龍組,858130,3
嘉義縣,955210,3
原葉,1003670,3
農會,872070,3
金萱組,858130,3
冠軍獎,858130,3
球型,9947238,3
充足,429687,3
激起,5155263,3
巴川紙,6089885,3
禮盒組,1360700,3
筆款,6164690,3
代工,5645291,3
小語,14696268,3
平衡感,2273130,3
擺件,587804,3
釉色,1147736,3
花盆,242340,3
維護,22076900,3
廣泛,278940,3
隔天,1802421,3
創作獎,528914,3
體操,2418295,3
存錢,4936148,3
衝浪,5562645,3
天真,2808759,3
寶島,27794682,3
時刻,3108629,3
車款,4256545,3
全罩,4312311,3
轉運,8422332,3
擁擠,2745448,3
句子,14519473,3
語句,5127561,3
圖形,43100,3
信件,4256020,3
疲憊,61680,3
後代,24293731,3
台南市,21340986,3
拆除,21056281,3
危機,22668763,3
設立,871000,3
行政,1034132,3
正式,1882590,3
考究,2691210,3
國民,14000971,3
軍官,1108658,3
重現,504259,3
嚴重,63950,3
支出,370305,3
付款,3485460,3
陷入,270114,3
希望,54370,3
分辨率,30801073,3
牛津,4895333,3
推移,2595383,3
寄回,4765947,3
隱藏版,18846325,3
台鐵,206346,3
北極熊,452826,3
酒廠,685693,3
超人氣,2602312,3
眼疾,96180,3
人群,6255714,3
簡介,5660,3
作品集,195297,3
孔位,1578983,3
同事,1261639,3
快拆,269288,3
懸空,1934351,3
世新,45620,3
聯名款,25086083,3
加固,9930667,3
迷人,2590780,3
香薰,227336,3
除甲醛,6807300,3
深灰色,1298684,3
壽命長,1999852,3
顆粒物,4199006,3
大方,330300,3
轉軸,1820745,3
配送,2472995,3
紙箱,477557,3
步伐,322122,3
螺孔,26420252,3
芭樂,19164370,3
洗衣精,5428679,3
單面,4821787,3
硬挺,4974605,3
運動衣,5380737,3
卡样,338153,3
匠人,2454110,3
馬戲,379570,3
文宣品,39600,3
遊樂場,7936571,3
陽台,3218320,3
門把,383640,3
日本製,954488,3
漂白劑,1383600,3
養分,444485,3
晾乾,3982582,3
延展,1760626,3
收起,2099698,3
建模,4894153,3
武士,6399030,3
引用,1698751,3
生肖,690244,3
排除,21839950,3
腔體,1350830,3
亮眼,414934,3
乾洗,1672879,3
翻來覆去,1861491,3
激素,3401001,3
內裏,1312221,3
日光,383940,3
牌卡,4986086,3
微克,2278810,3
競爭力,2239369,3
男神,4669570,3
淺槽,189626,3
達到,134450,3
塑形,319760,3
移工,238938,3
庇護,1157386,3
修身,348198,3
套上,429056,3
要求,17252451,3
專注,2972688,3
今年,608066,3
膠裝,5412856,3
時間表,955586,3
星期六,4047920,3
十一月,13396676,3
十二月,1270005,3
文書,240560,3
文史,8492268,3
著重,14860,3
缺點,6925500,3
塵蹣,6524564,3
沁涼,6357554,3
防彈,1214710,3
網格,2241960,3
裝進,4555720,3
輕旅,1744270,3
筆插,1461136,3
彈跳,710910,3
推進,2575710,3
損失,1786590,3
香調,1267380,3
麝香,3487457,3
紫羅蘭,3173929,3
小蒼蘭,3198759,3
線路,1403794,3
鞋楦,6219290,3
水解,2587134,3
前掌,3196924,3
紀念版,1752556,3
珍藏,2411176,3
隕石,6798751,3
刻上,6481710,3
簽名,8958071,3
動感,2682803,3
創建,5737402,3
增強,653222,3
轉換器,653911,3
指示,215841,3
公關,2109160,3
今年度,2979747,3
熬煮,1611496,3
辣醬,1660801,3
飲酒,598891,3
學習單,520272,3
物理性,1814271,3
超彈力,709815,3
易用,34125331,3
拿下,1335354,3
提早,36000,3
外面,1198390,3
刮鬍刀,2682897,3
刀頭,2494379,3
省錢,24142125,3
濁水溪,2556610,3
鋼珠筆,5994198,3
授食,646431,3
燕麥,828752,3
產區,988850,3
材料包,4625939,3
募得,293588,3
些許,499439,3
手套,1998450,3
狗兒,286342,3
方向燈,276973,3
麻豆,160192,3
顯眼,4163697,3
擴增,2783960,3
療育,492750,3
育成,658743,3
纖維板,3653220,3
共和國,23169714,3
入手,1694934,3
空格,40491,3
增進,472670,3
心聲,442922,3
限值,1172045,3
頭套,889068,3
緩震,2758024,3
中正路,895600,3
碩士,724984,3
球鞋,4502603,3
監控,7626926,3
註解,11700397,3
公布,1093951,3
一第,546530,3
快裝,14437247,3
撞色,27864885,3
數學,127791,3
六十,2551637,3
恆亮,253029,3
承托,358148,3
有聲書,8968632,3
肩部,58108,3
乘客,840112,3
滴膠,865257,3
舞台劇,135529,3
作曲家,1125326,3
畢業生,113100,3
嘉賓,161470,3
手寫,3118388,3
展會,1903448,3
好感,2282390,3
找回,487010,3
閒置,3395665,3
密室,4779840,3
外加,5808753,3
魔力,187010,3
處理器,33931726,3
運算,25009490,3
勇者,3708163,3
麻雀,696612,3
獎學金,699388,3
鳳凰,256932,3
多彩,2508458,3
賞心,1526201,3
樂事,1526201,3
搖飲,36521472,3
問候,3756374,3
無遠弗屆,350594,3
慈心,1520085,3
全素,5098790,3
高成本,1744767,3
亞馬遜,2238500,3
雞蛋,4936202,3
類型,1276500,3
無感,1097207,3
耳背,355654,3
頭圍,7015130,3
遷徙,1130623,3
叢林,926578,3
旅行包,10467974,3
援助,520194,3
處長,110770,3
受贈,634949,3
得獎,3727330,3
麥芽,736350,3
喪失,479577,3
查詢,360155,3
低敏,329852,3
積雪草,219395,3
走動,153129,3
表皮,112690,3
賽事,1105379,3
晚會,386870,3
攤位,470534,3
名人,350562,3
油煙,1359090,3
掛扣,2386832,3
泡綿,814254,3
境界,818080,3
福利部,242703,3
無塵室,126896,3
腳輪,5951312,3
個人化,446280,3
支撐桿,1014880,3
黃金色,575517,3
中午,2378637,3
石虎,2566016,3
農舍,4960791,3
號召,2209252,3
特有,604899,3
俄羅斯,1520579,3
防污,5898357,3
鹽水,9177424,3
鮑魚,901116,3
保特瓶,141313,3
標誌,913863,3
辦事處,4572675,3
雙模,3206794,3
性價,3125048,3
刺青,1442224,3
週二,1283692,3
男士,1777510,3
週六,1081707,3
開發中,889536,3
肆虐,531064,3
課輔班,263665,3
夏令營,49700,3
製錶,9718630,3
王者,5648243,3
中空,1422156,3
咖啡店,392978,3
短波,181432,3
人份,331739,3
煙霧,2610520,3
多元性,421398,3
超小,2219047,3
插槽,2123645,3
筋膜,2773290,3
轉身,2756900,3
璀璨,2925057,3
土地公廟,8819188,3
發達,4400136,3
濕黏,10399858,3
燃料,2322050,3
烤爐,2362170,3
開水,6730104,3
記者,2159009,3
收納箱,9976349,3
蘇打,2761518,3
同樂會,3175839,3
鎖扣,813212,3
大獎,5489818,3
莫仔,8763261,3
床面,865890,3
柴犬,1135205,3
口水,6110549,3
儀器,976623,3
讀卡機,6764996,3
旗艦組,713688,3
掰掰,16670811,3
耐折,1410990,3
插拔,4612940,3
隨行包,660026,3
組別,188776,3
藥劑,11987818,3
造字,4685268,3
開源,5750437,3
屁股,1215388,3
試樣,2060730,3
腸道,416548,3
腸胃,216140,3
菊苣,274308,3
乾性,215080,3
油性,862718,3
明信,1100092,3
建置,3008240,3
轉向,2849300,3
好食,547982,3
公噸,534918,3
單組,4749220,3
中壢,4603561,3
起伏,1349290,3
秀髮,2128870,3
髮質,2128870,3
護髮,5388730,3
環島,900869,3
邊角,2175438,3
超越,1329907,3
高科技,708394,3
尿墊,2696337,3
尿尿,371842,3
窗花,437638,3
方程式,486869,3
特選,2153804,3
木框,1843860,3
米飯,3802610,3
新潮,406740,3
禮品,443210,3
面罩,1413727,3
眼罩,34286168,3
紅外,2282883,3
註記,71142,3
沉重,646572,3
電瓶,304203,3
自組,3777040,3
尊重,880649,3
有機棉,1678952,3
獵物,1615892,3
蜻蜓,867027,3
抽繩,11054517,3
車架,3804144,3
零配件,3033914,3
表單,8534952,3
合作社,286492,3
穿着,145450,3
獨走,145450,3
探求,145450,3
心止,145450,3
加倍,352505,3
美白,2269397,3
超速,2956030,3
任天堂,813937,3
對講機,10883375,3
摩登,4040325,3
感情,867023,3
好水,10792260,3
主治,10788218,3
廿四,1185698,3
福袋,2486376,3
平安符,17411845,3
特典,12476330,3
主持人,13135808,3
紅包袋,11923097,3
採訪,4630584,3
萃取液,156587,3
調製,1918820,3
清潔力,2457783,3
氣旋,10150991,3
風道,4674561,3
淨水器,1014170,3
考上,545959,3
草香紙,1157552,3
養蜂,5432644,3
購置,4557646,3
發放,4809201,3
頂部,4478125,3
茶區,244720,3
食安,488954,3
空汙,6895061,3
抗生素,92360,3
撕開,159142,3
前側,396273,3
帽體,11513441,3
馬力,706000,3
廿五,2774774,3
正向,346829,3
公視,373220,3
中秋,2937853,3
小童,11865424,3
微米,187045,3
潔面,575870,3
乳清,2051980,3
花生,6633368,3
體態,1264460,3
泡麵,6728020,3
濾藍光,255422,3
增稠劑,657794,3
案號,1315039,3
髮絲,4094750,3
脂肪酸,120197,3
比利時,2567745,3
剪接,370800,3
交通費,211600,3
戰爭,2035976,3
探頭,552660,3
行星,877200,3
超靜音,16353230,3
透明化,16569290,3
裁判,628099,3
高彈,24449720,3
產能,405120,3
飢餓,1776200,3
義式,1069516,3
貼圖,3563451,3
水位,25376045,3
標本,1186011,3
養殖,771798,3
用電,15512016,3
甘蔗,567139,3
辦桌,464159,3
收成,1435919,3
雙頭,9129320,3
雙面膠,6694577,3
紙尿布,2852278,3
腿圍,4005767,3
初五,12064824,3
日用,2881686,3
絕版,8528723,3
單筆,4448880,3
大腦,2226060,3
成就感,620240,3
化器,1827360,3
瞬吸,2400228,3
爸媽,2622062,3
蜜蜂,1005515,3
芳療師,1036795,3
尋農,68710,3
果農,78140,3
南投,68710,3
保險單,2915377,3
體傷,2929937,3
靈敏,8085362,3
充電口,7097871,3
穩定度,2777446,3
水嫩,226466,3
陰陽,527437,3
泰雅,1098031,3
診斷,4326493,3
福祿,1130681,3
滴漏,1204184,3
自產,539925,3
性愛,6451861,3
釉面,4080257,3
水垢,1850043,3
我司,2408756,3
微距,12544108,3
專屬價,313920,3
正式版,414749,3
墊子,2434592,3
顯微鏡,847073,3
冷風,3004910,3
淨灘,22621315,3
蔬食,25676098,3
愛美,1284805,3
耐水,1844617,3
翻炒,1624145,3
天地,1943455,3
紅包,713595,3
運勢,897392,3
安眠,1011771,3
春節,534204,3
豬肉,1673419,3
同樂組,43028390,2
幼幼,43028390,2
挑戰卡,43028390,2
彈跳橋,43028390,2
玩具車,43028390,2
送貨員,43028390,2
停車庫,43028390,2
效能感,43028390,2
小學堂,43028390,2
斜坡,43028390,2
斜坡組,43028390,2
探索包,43028390,2
林曜聖,43028390,2
貨物卡,43028390,2
挑戰賽,24107768,2
適合,24093490,2
立方體,24083710,2
捷包,759200,2
奢華版,759200,2
日字,759200,2
拉鍊繩,759200,2
拆提,759200,2
側掛,759200,2
品捷包,759200,2
專利型,759200,2
防水鍍膜,759200,2
鈦金色,759200,2
扣快,759200,2
保護包,759200,2
掛法,759200,2
掛置,759200,2
穿過,759200,2
採購,759200,2
環保化,759200,2
買菜,759200,2
特製型,759200,2
掛至於,759200,2
不可多得,759200,2
縮緊,759200,2
端條,759200,2
少不得,759200,2
總能,759200,2
管事,759200,2
分隔袋,759200,2
平板袋,759200,2
充收,759200,2
讓品捷,759200,2
扣質感,759200,2
日字扣,759200,2
防水板,759200,2
公母扣,759200,2
扣法,759200,2
便捷性,759200,2
二代品,759200,2
實掛,759200,2
資網,759200,2
側位,759200,2
收納罐,3700947,2
捲起,3700947,2
綠吸能,3700947,2
波霸,3700947,2
管收,3700947,2
捲捲捲,3700947,2
復原性,3700947,2
珊瑚粉,3700947,2
攪動,3700947,2
捲吸管,3700947,2
收於,3700947,2
掛脖,3700947,2
粗吸,3700947,2
細吸,3700947,2
東扭西扭,3700947,2
石英石,3700947,2
內蓋,3700947,2
佳久放,3700947,2
拆洗式,3700947,2
細沙白,3700947,2
夜光黑,3700947,2
可戰膜,3700947,2
原墩費,3700947,2
有色差,3700947,2
弄傷,3700947,2
浮誇,3700947,2
打破,3700947,2
原形,3700947,2
屆滿,3700947,2
作人,3700947,2
大老,1224330,2
樁腳,1224330,2
播牌社,1224330,2
下台,1224330,2
死握,1224330,2
橋牌,1224330,2
黨證,1224330,2
握手,1224330,2
馬克吐溫,1224330,2
移動到,1224330,2
召喚,1224330,2
角力,1224330,2
美麗島風雲,1224330,2
尾刀,1224330,2
精腳,1224330,2
楚長青,1224330,2
桥腳,1224330,2
最右格,1224330,2
強人,1224330,2
總機,1224330,2
題材,1224330,2
霸主,1224330,2
使出,1224330,2
覆蓋,1224330,2
看過,1224330,2
無所不談,1224330,2
觀看數,1224330,2
叫好,1224330,2
叫座,1224330,2
鬥爭,1224330,2
刀光劍影,1224330,2
戲謔性,1224330,2
到往,1224330,2
幻滅,1224330,2
無二致,1224330,2
惡搞,1224330,2
大老卡,1224330,2
原紙,1224330,2
製改,1224330,2
圖楚,1224330,2
長青,1224330,2
大老會,1224330,2
推死,1224330,2
東山再起,1224330,2
撿走,1224330,2
吳晟華,1224330,2
神聖戰,1224330,2
品頭論足,1224330,2
周延餘,1224330,2
負責到,1224330,2
喜歡上,1224330,2
政治類,1224330,2
甘拜,1224330,2
下風,1224330,2
劇中角,1224330,2
農我,1224330,2
牌社,1224330,2
未了,1224330,2
一頁式,5866443,2
特產品,75610,2
誠意,15904,2
打工,193826,2
傷殘,2082510,2
一技之長,12610,2
企業社,301046,2
人手,16110,2
做好,18104,2
宅配,173370,2
捕獸夾,3396540,2
棧板,1329340,2
整地,1528820,2
估計,1430700,2
碎石,3396540,2
山豬吊,3396540,2
柵欄,1913246,2
流浪狗,1428582,2
雜草,1670100,2
獲救,1659210,2
愛克特,3396540,2
三芝區,3396540,2
山洞,1458606,2
濕軟,1632130,2
指法,25444000,2
德式,3012128,2
易學,1017180,2
氣球,685350,2
仙人掌,75225,2
初學,25444000,2
退休,2079100,2
多樣化,15286576,2
周遭,39800,2
接通,3651960,2
刺破,119678,2
依靠,117700,2
教導,30300,2
背夾,4072369,2
食物袋,6884355,2
高蛋白,1866254,2
流失,9341452,2
烹煮,1866904,2
五星級,1057364,2
嘗試,926654,2
低價,1066544,2
好評,4719156,2
旅咖,2533880,2
格式化,2463607,2
接線,5074820,2
深圳,2634590,2
星期二,2150044,2
落地,1698020,2
打翻,7286730,2
負面,1786440,2
影響,1697790,2
西藥,127664,2
宣稱,494684,2
無益,28250,2
夢靨,120860,2
藥用,10600200,2
產險,438617,2
副作用,157364,2
投放,1580892,2
富邦,438617,2
依賴,35290,2
冰沙,563250,2
消暑,666985,2
失業率,24970,2
誠摯,257670,2
送暖,106560,2
接受度,24040,2
攀升,161538,2
實在,235649,2
吸引力,1009305,2
女士,234590,2
二代,747283,2
推廣到,14528,2
潛力,254780,2
攝氏,3866304,2
伸出,236490,2
餐飲,578780,2
緣起,16300,2
繁複,1857931,2
發掘,142248,2
司法院,1292697,2
黎明,1193903,2
召開,1286028,2
到來,13364763,2
婚姻,1392421,2
合法化,1383583,2
牧師,2315903,2
爭取,3124723,2
一次次,1328663,2
報紙,2092713,2
品格,169560,2
分送,1531550,2
自信心,165560,2
南投縣,150060,2
在一起,209640,2
花茶,378950,2
包種茶,75940,2
茶食,283960,2
車燈,1736610,2
週波,482056,2
出發,3364651,2
膠布,464010,2
冰川灰,1846030,2
設計案,2308080,2
墓資,391260,2
秒裝,2199290,2
小剛,364170,2
公路車,388810,2
台製,1696527,2
斷掉,5256740,2
裝到,400680,2
冰川,5481071,2
後端,1139910,2
脈動,497210,2
心理師,1275591,2
事件卡,1226970,2
攻撃,1324992,2
生氣,1703950,2
難過,1703950,2
怪獸卡,1679199,2
心理,1262910,2
羅斯,1273942,2
體力,1465860,2
寶媽,2079750,2
催化,1392209,2
角色卡,1206810,2
厭惡,1452590,2
打敗,1855160,2
活潑,1349560,2
變化性,10859120,2
添加劑,940491,2
度日,845311,2
躺下,1511501,2
電腦架,973391,2
多卡,901931,2
張卡片,901931,2
電座,1085456,2
羽絨服,48972625,2
三重區,51421325,2
牛仔,48890645,2
增高架,49104678,2
一體機,50073465,2
冬衣,48926645,2
銅製,48928485,2
烘衣,48926645,2
用水量,48884965,2
生態系,52444613,2
窗戶,48978405,2
心經,5593700,2
筆夾,11212157,2
筆管,5588040,2
調節器,5689578,2
負壓,5529040,2
螺牙,7038180,2
防氣套,6047498,2
筆舌,5588040,2
白尖,5588040,2
經文,6045375,2
更換為,6247000,2
英文字,5530739,2
寄到,5547520,2
愛瘋,1603258,2
蘋果迷,985851,2
算是,1210978,2
十足,3298368,2
路由器,1503474,2
放上去,6770701,2
月費,915998,2
樣板,919298,2
糟糟,3214380,2
測距,35558950,2
算出,5034230,2
工地,6354197,2
照相,5012430,2
口口,6096370,2
布置,5057580,2
詳閱,6699180,2
簡報器,7115836,2
冥想,205680,2
瑜伽,309250,2
覺察,701182,2
課堂,452280,2
聽出,354080,2
周杰倫,111970,2
念頭,224950,2
越加,1056106,2
熱水式,3409291,2
兩棲,3065641,2
分公司,3783641,2
咖啡杯,4579531,2
波浪型,3390797,2
亮面,3065131,2
試方法,4811841,2
美麗諾,6374860,2
汗臭,380630,2
尋求,80953,2
泰式,13183175,2
